,LocInfo,TECHNO,LAC,CI,COORD_X,COORD_Y,LON,LAT,min_dt,max_dt,NOM_SITE
253796,0102f810040397ba,3G,1027,38842,600674,2430225,2.345688,48.870343,2019/03/15,2019/06/22,MM_HALL_STREET_EVENT_2014_LTE
253797,0102f8100404306f,3G,1028,12399,599931,2429028,2.335566,48.859586,2019/03/15,2019/06/22,TPIM_TUILERIES_BIS
253798,0102f81004045382,3G,1028,21378,597641,2428538,2.304377,48.855177000000005,2019/03/15,2019/06/22,CHAMPS_DE_MARS_BIS
253799,0102f81004045749,3G,1028,22345,597334,2428453,2.300196,48.854411999999996,2019/03/15,2019/06/22,MM_FAN_ZONE_EVENT_3
253800,0102f8100404581d,3G,1028,22557,595905,2427016,2.280748,48.841489,2019/03/15,2019/06/22,UNIVERSITE_PARIS_I
253801,0102f8100404b873,3G,1028,47219,599350,2428784,2.327652,48.857392,2019/03/15,2019/06/22,BAC_UNIVERSITE
253803,0102f810040560c5,3G,1029,24773,597820,2430141,2.306806,48.869585,2019/03/15,2019/06/22,MONTAIGNE_EU
253805,0102f8100405ba43,3G,1029,47683,599664,2429789,2.331928,48.866425,2019/03/15,2019/06/22,MARCHE_ST_HONORE
253806,0102f8100405c07d,3G,1029,49277,600479,2430819,2.343032,48.875682,2019/03/15,2019/06/22,CADET_2
253807,0102f8100405c5c1,3G,1029,50625,598033,2430574,2.3097060000000003,48.873477,2019/03/15,2019/06/22,ST_PHILIPPE_DU_ROULE
